Num,fname,lname,club,position,CY Base Salary,CY Guaranteed Comp
878,Sean,Johnson,Toronto FC,Goalkeeper,"$426,039.00","$703,301.00"
879,Deandre,Kerr,Toronto FC,Right Wing,"$100,000.00","$105,319.00"
880,Cassius,Mailula,Toronto FC,Right Wing,"$300,000.00","$316,003.00"
881,Lazar,Stefanovic,Toronto FC ,Center-back,"$71,401.00","$83,307.00"
882,J.C.,Ngando,Vancouver Whitecaps,Defensive Midfield,"$89,716.00","$107,715.00"
883,Nicolas,Fleuriau Chateau,Vancouver Whitecaps,Substitute,"$71,401.00","$71,401.00"
884,Jeevan,Badwal,Vancouver Whitecaps,Central Midfield,"$71,401.00","$71,401.00"
885,Stuart,Armstrong,Vancouver Whitecaps,Central Midfield,"$2,499,996.00","$2,877,774.00"
886,Édier,Ocampo,Vancouver Whitecaps,Right-back,"$325,000.00","$378,299.00"
887,Giuseppe,Bovalina,Vancouver Whitecaps,Right-back,"$71,401.00","$73,401.00"
888,Damir,Kreilach,Vancouver Whitecaps,Central Midfield,"$440,000.00","$440,000.00"
889,Joe,Bendik,Vancouver Whitecaps,Goalkeeper,"$108,000.00","$116,673.00"
890,Belal,Halbouni,Vancouver Whitecaps,Center-back,"$110,000.00","$110,000.00"
891,Bjørn Inge,Utvik,Vancouver Whitecaps,Center-back,"$450,000.00","$502,083.00"
892,Tristan,Blackmon,Vancouver Whitecaps,Center-back,"$750,000.00","$750,000.00"
893,Fafà,Picault,Vancouver Whitecaps,Left Wing,"$650,000.00","$670,000.00"
894,Sebastian,Berhalter,Vancouver Whitecaps,Central Midfield,"$330,000.00","$330,000.00"
895,Ranko,Veselinovic,Vancouver Whitecaps,Center-back,"$620,000.00","$687,125.00"
896,Sam,Adekugbe,Vancouver Whitecaps,Left-back,"$825,000.00","$913,000.00"
897,Deiber,Caicedo,Vancouver Whitecaps,Left Wing,"$350,000.00","$381,125.00"
898,Levonte,Johnson,Vancouver Whitecaps,Left Wing,"$89,716.00","$89,716.00"
899,Andrés,Cubas,Vancouver Whitecaps,Defensive Midfield,"$1,050,000.00","$1,146,375.00"
900,Ralph,Priso,Vancouver Whitecaps,Defensive Midfield,"$125,000.00","$125,000.00"
901,Ryan,Raposo,Vancouver Whitecaps,Left Midfield,"$150,000.00","$155,000.00"
902,Pedro,Vite,Vancouver Whitecaps,Attacking Midfield,"$621,000.00","$674,997.00"
903,Yohei,Takaoka,Vancouver Whitecaps,Goalkeeper,"$672,000.00","$789,713.00"
904,Mathías,Laborda,Vancouver Whitecaps,Center-back,"$800,000.00","$943,625.00"
905,Brian,White,Vancouver Whitecaps,Center Forward,"$754,500.00","$754,500.00"
906,Alessandro,Schöpf,Vancouver Whitecaps,Attacking Midfield,"$900,000.00","$992,500.00"
907,Ryan,Gauld,Vancouver Whitecaps,Attacking Midfield,"$2,880,000.00","$2,985,000.00"
908,Max,Anchor,Vancouver Whitecaps,Goalkeeper,"$71,401.00","$78,843.00"
909,Ali,Ahmed,Vancouver Whitecaps,Left Midfield,"$100,000.00","$109,375.00"
910,Isaac,Boehmer,Vancouver Whitecaps,Goalkeeper,"$89,716.00","$89,716.00"
