"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"Gio","Villa","Real Salt Lake","Right-back","$88,025.00","$91,358.00"
"Jules-Anthony","Vilsaint","Toronto FC","Center Forward","$150,000.00","$156,875.00"
"Sam","Vines","Houston Dynamo","Left-back","$900,000.00","$912,500.00"
"Gino","Vivi","LA Galaxy","Left Wing","$113,400.00","$113,400.00"
"Robert","Voloder","New York Red Bulls","Center-back","$575,000.00","$685,250.00"
"Isaac","Walker","Charlotte FC","Goalkeeper","$113,400.00","$121,376.00"
"Conrad","Wallem","St. Louis City SC","Right Midfield","$600,000.00","$657,188.00"
"Paul","Walters","FC Cincinnati","Goalkeeper","$113,400.00","$121,367.00"
"Joel","Waterman","Chicago Fire","Center-back","$517,000.00","$598,150.00"
"Sydney","Wathuta","Colorado Rapids","Central Midfield","$88,025.00","$88,025.00"
"Timo","Werner","San Jose Earthquakes","Center Forward","$3,738,872.00","$4,268,039.00"
"Frankie","Westfield","Philadelphia Union","Right-back","$113,400.00","$125,285.00"
"Ashley","Westwood","Charlotte FC","Defensive Midfield","$800,000.00","$833,333.00"
"Brian","White","Vancouver Whitecaps","Center Forward","$1,065,000.00","$1,065,000.00"
"Adrian","Wibowo","LAFC","Right Wing","$113,400.00","$113,400.00"
"Sam","Williams","Chicago Fire","Defensive Midfield","$88,025.00","$99,354.00"
"Thomas","Williams","Nashville SC","Center-back","$150,000.00","$163,875.00"
"Joe","Willis","Nashville SC","Goalkeeper","$200,000.00","$216,000.00"
"Henry","Wingo","Toronto FC","Right-back","$725,000.00","$796,031.00"
"Maxwell","Woledzi","Nashville SC","Center-back","$650,000.00","$667,500.00"
"Hannes","Wolf","New York City FC","Right Wing","$1,400,000.00","$1,510,000.00"
"Owen","Wolff","Austin FC","Central Midfield","$750,000.00","$750,000.00"
"Tyler","Wolff","Real Salt Lake","Right Wing","$160,000.00","$160,000.00"
"Elijah","Wynder","LA Galaxy","Central Midfield","$325,000.00","$352,208.00"
"Zidane","Yáñez","New York City FC","Center Forward","$113,400.00","$117,567.00"
"Miki","Yamane","LA Galaxy","Right-back","$850,000.00","$916,667.00"
"Darren","Yapi","Colorado Rapids","Center Forward","$795,000.00","$820,000.00"
"William","Yarbrough","Toronto FC","Goalkeeper","$135,000.00","$150,000.00"
"Joshua","Yaro","St. Louis City SC","Center-back","$206,000.00","$227,725.00"
"Patrick","Yazbek","Nashville SC","Central Midfield","$500,000.00","$616,013.00"
"Kelvin","Yeboah","Minnesota United","Center Forward","$1,360,000.00","$1,562,700.00"
"DeAndre","Yedlin","Real Salt Lake","Right-back","$650,000.00","$726,667.00"
"Maya","Yoshida","LA Galaxy","Center-back","$640,000.00","$715,781.00"
"Griffin","Yow","New England Revolution","Right Wing","$675,000.00","$810,875.00"
"Jackson","Yueill","New England Revolution","Central Midfield","$1,141,087.00","$1,141,087.00"
"Alhassan","Yusuf","New England Revolution","Central Midfield","$900,000.00","$995,311.00"
"Wilfried","Zaha","Charlotte FC","Left Wing","$2,666,667.00","$2,751,667.00"
"Bryan","Zamblé","San Diego FC","Left Wing","$88,025.00","$88,025.00"
"Marcos","Zambrano","New England Revolution","Center Forward","$113,400.00","$135,659.00"
"Sean","Zawadzki","Columbus Crew","Central Midfield","$800,000.00","$900,500.00"
"Adrián","Zendejas","Vancouver Whitecaps","Goalkeeper","$113,400.00","$113,400.00"
"Zach","Zengue","Columbus Crew","Midfielder","$88,025.00","$88,025.00"
"Walker","Zimmerman","Toronto FC","Center-back","$1,140,000.00","$1,708,037.00"
"Philip","Zinckernagel","Chicago Fire","Right Wing","$1,455,125.00","$1,635,665.00"
