"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"Matthew","Corcoran","Nashville SC","Defensive Midfield","$113,400.00","$135,668.00"
"Gabriel","Cordeiro Pirani","DC United","Attacking Midfield","$800,000.00","$866,700.00"
"Vítor","Costa","San Jose Earthquakes","Left-back","$425,000.00","$463,333.00"
"Luis Otávio","Costa de Aquino","Orlando City SC","Defensive Midfield","$500,000.00","$569,000.00"
"Baye","Coulibaly","Charlotte FC","Central Midfield","$300,000.00","$329,500.00"
"Cade","Cowell","New York Red Bulls","Left Wing","$900,000.00","$1,182,500.00"
"Chance","Cowell","Real Salt Lake","Left Wing","$88,025.00","$91,740.00"
"Maxime","Crépeau","Orlando City SC","Goalkeeper","$600,000.00","$600,000.00"
"Brandan","Craig","CF Montreal","Center-back","$88,025.00","$97,830.00"
"Benja","Cremaschi","Inter Miami","Central Midfield","$425,000.00","$527,500.00"
"Nate","Crockford","San Jose Earthquakes","Goalkeeper","$88,025.00","$88,025.00"
"Andrés","Cubas","Vancouver Whitecaps","Defensive Midfield","$1,000,000.00","$1,153,333.00"
"Mauricio","Cuevas","LA Galaxy","Right-back","$250,000.00","$268,500.00"
"Antônio Carlos","Cunha Capocasali Junior","Houston Dynamo","Center-back","$750,000.00","$832,676.00"
"Christopher","Cupps","Chicago Fire","Center-back","$113,400.00","$116,186.00"
"Hugo","Cuypers","Chicago Fire","Center Forward","$3,238,000.00","$3,528,044.00"
"Djé","D'Avilla","Chicago Fire","Defensive Midfield","$573,000.00","$685,486.00"
"David","Da Costa","Portland Timbers","Attacking Midfield","$2,725,000.00","$3,425,000.00"
"Evander","da Silva Ferreira","FC Cincinnati","Attacking Midfield","$3,200,000.00","$4,736,411.00"
"Kaick","da Silva Ferreira","FC Dallas","Defensive Midfield","$200,000.00","$251,900.00"
"Iago Teodoro","da Silva Nogueira","Orlando City SC","Center-back","$500,000.00","$551,875.00"
"Guilherme","da Trindade Dubas","Austin FC","Left-back","$325,000.00","$325,000.00"
"Christian","Díaz","LAFC","Center-back","$88,025.00","$88,025.00"
"Jefferson","Díaz","Minnesota United","Center-back","$435,000.00","$435,000.00"
"Riley","Dalgado","LA Galaxy","Left-back","$88,025.00","$88,025.00"
"Bruno","Damiani","Philadelphia Union","Center Forward","$720,000.00","$847,600.00"
"Jake","Davis","Sporting Kansas City","Right-back","$425,000.00","$437,500.00"
"Eddy","Davis III","Philadelphia Union","Center Forward","$113,400.00","$115,400.00"
"Felipe","de Andrade Vieira","Houston Dynamo","Center-back","$225,000.00","$252,500.00"
"Geovane","de Jesus Rocha","FC Dallas","Right-back","$400,000.00","$447,000.00"
"Luca","de la Torre","Charlotte FC","Central Midfield","$1,457,386.00","$1,611,827.00"
"Pedro","de la Vega","Seattle Sounders FC","Right Wing","$1,000,000.00","$1,379,000.00"
"José Artur","de Lima Júnior","Houston Dynamo","Defensive Midfield","$875,004.00","$958,379.00"
"Rodrigo","De Paul","Inter Miami","Central Midfield","$7,569,000.00","$9,688,320.00"
"Adisa","De Rosario","Toronto FC","Goalkeeper","$88,025.00","$104,638.00"
"Osaze","De Rosario","Seattle Sounders FC","Center Forward","$250,000.00","$315,000.00"
"Daniel","de Sousa Britto","San Jose Earthquakes","Goalkeeper","$750,000.00","$792,500.00"
"Jonathan","Dean","Chicago Fire","Right-back","$175,000.00","$210,700.00"
"Louicius","Deedson","FC Dallas","Right Wing","$400,000.00","$450,319.00"
"Mark","Delgado","LAFC","Central Midfield","$1,055,000.00","$1,055,000.00"
"Patrickson","Delgado","FC Dallas","Defensive Midfield","$260,000.00","$286,280.00"
"Lorenzo","Dellavalle","LAFC","Center-back","$113,400.00","$117,150.00"
"Kévin","Denkey","FC Cincinnati","Center Forward","$3,800,000.00","$3,810,000.00"
"Mikkel","Desler","Austin FC","Right-back","$550,000.00","$550,000.00"
"Djibril","Diani","Charlotte FC","Defensive Midfield","$350,000.00","$387,944.00"
"Mamadou","Dieng","Minnesota United","Center Forward","$88,025.00","$91,172.00"
"Griffin","Dillon","Real Salt Lake","Central Midfield","$88,025.00","$92,668.00"
"Mamadou Billo","Diop","Colorado Rapids","Center Forward","$88,025.00","$88,025.00"
"Puso","Dithejane","Chicago Fire","Right Wing","$250,000.00","$283,252.00"
"Mateja","Djordjević","Austin FC","Center-back","$325,000.00","$335,000.00"
"Nikola","Djordjevic","Vancouver Whitecaps","Right-back","$88,025.00","$88,025.00"
"Ronald","Donkor","New York Red Bulls","Central Midfield","$150,000.00","$175,400.00"
"Griffin","Dorsey","Orlando City SC","Right-back","$700,000.00","$767,891.00"
"Matthew","Dos Santos","New York Red Bulls","Left-back","$88,025.00","$104,756.00"
"CJ","dos Santos","San Diego FC","Goalkeeper","$350,000.00","$390,875.00"
"Micael","dos Santos Silva","Inter Miami","Center-back","$750,000.00","$892,440.00"
"Hassani","Dotson","Seattle Sounders FC","Central Midfield","$828,125.00","$828,125.00"
"Anders","Dreyer","San Diego FC","Right Wing","$2,979,168.00","$3,561,251.00"
"Manu","Duah","San Diego FC","Center-back","$88,025.00","$92,025.00"
"Nicolás","Dubersarsky","Austin FC","Central Midfield","$325,000.00","$347,986.00"
"Morris","Duggan","Minnesota United","Center-back","$113,400.00","$113,400.00"
"Bryce","Duke","San Diego FC","Attacking Midfield","$300,000.00","$336,500.00"
"Kyle","Duncan","Minnesota United","Right-back","$400,000.00","$437,889.00"
"Chris","Durkin","St. Louis City SC","Defensive Midfield","$600,000.00","$668,500.00"
"Jeremy","Ebobisse","LAFC","Center Forward","$722,500.00","$722,500.00"
"Ender","Echenique","FC Cincinnati","Right Wing","$356,400.00","$446,580.00"
"Daniel","Edelman","St. Louis City SC","Defensive Midfield","$600,000.00","$676,350.00"
"Raheem","Edwards","Toronto FC","Left-back","$375,000.00","$414,340.00"
"Matthew","Edwards","Atlanta United","Center-back","$113,400.00","$113,400.00"
"Earl","Edwards Jr.","San Jose Earthquakes","Goalkeeper","$210,000.00","$220,250.00"
"Wilson","Eisner","San Diego FC","Right-back","$88,025.00","$95,290.00"
"Quinton","Elliot","Columbus Crew","Right Midfield","$88,025.00","$92,668.00"
"Jack","Elliott","Chicago Fire","Center-back","$960,511.00","$1,054,275.00"
"Justin","Ellis","Orlando City SC","Center Forward","$88,025.00","$112,424.00"
"Rayan","Elloumi","Vancouver Whitecaps","Center Forward","$88,025.00","$103,671.00"
"Emeka","Eneli","Real Salt Lake","Defensive Midfield","$400,000.00","$441,000.00"
"Lukas","Engel","Real Salt Lake","Left-back","$750,000.00","$832,135.00"
"Lawrence","Ennali","Houston Dynamo","Left Wing","$500,000.00","$574,250.00"
"Logan","Erb","Houston Dynamo","Goalkeeper","$88,025.00","$93,373.00"
"Olger","Escobar","CF Montreal","Attacking Midfield","$88,025.00","$93,421.00"
"Cristian","Espinoza","Nashville SC","Right Wing","$1,958,333.00","$2,343,567.00"
"Ascel","Essengue","LA Galaxy","Center-back","$88,025.00","$88,025.00"
"Derrick","Etienne Jr.","Toronto FC","Left Wing","$375,000.00","$375,000.00"
"Stephen","Eustaquio","LAFC","Central Midfield","$1,800,000.00","$1,800,000.00"
"Matt","Evans","LAFC","Attacking Midfield","$88,025.00","$88,025.00"
"Ali","Fadal","Colorado Rapids","Central Midfield","$113,400.00","$113,400.00"
"Diego","Fagúndez","New England Revolution","Left Wing","$300,000.00","$316,250.00"
"Maximiliano","Falcón","Inter Miami","Center-back","$600,000.00","$674,250.00"
"Fallou","Fall","St. Louis City SC","Center-back","$645,500.00","$743,919.00"
"Jordan","Farr","DC United","Goalkeeper","$113,400.00","$118,400.00"
"Andrew","Farrell","New England Revolution","Center-back","$113,400.00","$113,400.00"
"Logan","Farrington","FC Dallas","Center Forward","$350,000.00","$417,000.00"
"Mohamed","Farsi","Columbus Crew","Right Midfield","$500,000.00","$530,000.00"
"Ilay","Feingold","New England Revolution","Right-back","$575,000.00","$575,000.00"
"Julián","Fernández","New York City FC","Right Wing","$720,000.00","$784,300.00"
"Nicolás","Fernández Mercau","New York City FC","Center Forward","$3,650,000.00","$3,650,000.00"
"Omir","Fernandez","Portland Timbers","Right Wing","$625,000.00","$686,875.00"
"Nick","Fernandez","San Jose Earthquakes","Defensive Midfield","$113,400.00","$115,304.00"
"Duran","Ferree","San Diego FC","Goalkeeper","$113,400.00","$113,400.00"
"Jesús","Ferreira","Seattle Sounders FC","Center Forward","$1,639,204.00","$1,882,937.00"
"Britton","Fischer","Minnesota United","Center-back","$88,025.00","$88,025.00"
"Dominik","Fitz","Minnesota United","Attacking Midfield","$890,000.00","$893,000.00"
"Cooper","Flax","New York City FC","Left Wing","$88,025.00","$88,025.00"
"Kristian","Fletcher","FC Cincinnati","Center Forward","$113,400.00","$126,733.00"
"Gilberto","Flores","FC Cincinnati","Center-back","$390,000.00","$436,672.00"
"Max","Floriani","San Jose Earthquakes","Center-back","$88,025.00","$90,525.00"
"CJ","Fodrey","Austin FC","Left Wing","$120,000.00","$120,000.00"
"Mamadou","Fofana","New England Revolution","Center-back","$800,000.00","$916,250.00"
"Emil","Forsberg","New York Red Bulls","Left Wing","$5,405,000.00","$6,035,625.00"
"Gabriel","Fortes Chaves","LA Galaxy","Right Wing","$1,680,000.00","$2,459,000.00"
"Ajani","Fortune","Atlanta United","Central Midfield","$120,000.00","$120,000.00"
"Jimer","Fory","Portland Timbers","Left-back","$450,000.00","$470,000.00"
"André","Franco","Chicago Fire","Attacking Midfield","$1,200,000.00","$1,306,771.00"
"Kobe","Franklin","Toronto FC","Right-back","$150,000.00","$160,802.00"
"Ian","Fray","Inter Miami","Center-back","$375,000.00","$429,000.00"
"Wayne","Frederick","Colorado Rapids","Central Midfield","$113,400.00","$113,400.00"
"Matt","Freese","New York City FC","Goalkeeper","$675,000.00","$795,833.00"
"Stefan","Frei","Seattle Sounders FC","Goalkeeper","$365,000.00","$390,750.00"
"Malcolm","Fry","New England Revolution","Right Wing","$113,400.00","$118,960.00"
"Yeimar","Gómez Andrade","Seattle Sounders FC","Center-back","$900,000.00","$982,500.00"
"Jeff","Gal","Chicago Fire","Goalkeeper","$150,000.00","$165,000.00"
"Matías","Galarza","Atlanta United","Central Midfield","$720,000.00","$945,413.00"
"Jon","Gallagher","Austin FC","Right-back","$400,000.00","$400,000.00"
"Manu","García","Sporting Kansas City","Attacking Midfield","$2,200,000.00","$2,425,313.00"
"Diego","García","FC Dallas","Central Midfield","$88,025.00","$101,666.00"
"Carlos","Garcés","LA Galaxy","Center-back","$480,000.00","$518,000.00"
"Ryan","Gauld","Vancouver Whitecaps","Attacking Midfield","$3,500,000.00","$3,675,000.00"
"Luka","Gavran","Toronto FC","Goalkeeper","$225,000.00","$249,475.00"
"Dániel","Gazdag","Columbus Crew","Attacking Midfield","$2,049,996.00","$2,647,635.00"
"Emil","Gazdov","CF Montreal","Goalkeeper","$88,025.00","$96,172.00"
"Owen","Gene","Minnesota United","Central Midfield","$420,000.00","$450,100.00"
"Joran","Gerbet","Orlando City SC","Defensive Midfield","$113,400.00","$113,400.00"
"Mihail","Gherasimencov","Vancouver Whitecaps","Left-back","$88,025.00","$97,748.00"
"Samuel","Gidi","FC Cincinnati","Central Midfield","$600,000.00","$671,050.00"
"Carles","Gil","New England Revolution","Attacking Midfield","$4,500,000.00","$4,952,083.00"
"Adrian","Gill","Atlanta United","Central Midfield","$88,025.00","$88,025.00"
"Thomas","Gillier","CF Montreal","Goalkeeper","$445,000.00","$487,000.00"
"Blake","Gillingham","Houston Dynamo","Goalkeeper","$88,025.00","$88,025.00"
"Jake","Girdwood-Reich","St. Louis City SC","Center-back","$296,750.00","$335,527.00"
"Dennis","Gjengaar","New York Red Bulls","Right Wing","$380,000.00","$438,769.00"
"Justen","Glad","Real Salt Lake","Center-back","$1,150,000.00","$1,330,000.00"
"Omari","Glasgow","Chicago Fire","Right Midfield","$113,400.00","$127,085.00"
"Jakob","Glesnes","LA Galaxy","Center-back","$826,087.00","$1,268,503.00"
"Caden","Glover","St. Louis City SC","Center Forward","$150,000.00","$155,000.00"
"Aníbal","Godoy","San Diego FC","Defensive Midfield","$325,000.00","$358,333.00"
"André","Gomes","Columbus Crew","Central Midfield","$875,000.00","$971,944.00"
"Sebastian","Gomez","Seattle Sounders FC","Attacking Midfield","$88,025.00","$94,740.00"
"Nicksoen","Gomis","Toronto FC","Center-back","$113,400.00","$113,400.00"
"Mauricio","González","Minnesota United","Left Wing","$240,000.00","$240,000.00"
"Jonathan","González","San Jose Earthquakes","Defensive Midfield","$250,000.00","$275,625.00"
"Archie","Goodwin","Charlotte FC","Center Forward","$325,000.00","$366,187.00"
"Ashton","Gordon","Atlanta United","Right Wing","$88,025.00","$88,025.00"
"Zavier","Gozo","Real Salt Lake","Right Wing","$113,400.00","$126,123.00"
"Owen","Graham-Roache","CF Montreal","Center Forward","$88,025.00","$93,915.00"
"Tayvon","Gray","New York City FC","Right-back","$550,000.00","$664,000.00"
"Stian","Gregersen","Atlanta United","Center-back","$850,000.00","$970,000.00"
"Julian","Gressel","Minnesota United","Right Midfield","$1,204,005.00","$1,204,005.00"
"Aleksandr","Guboglo","CF Montreal","Right-back","$88,025.00","$93,714.00"
"Gage","Guerra","Portland Timbers","Center Forward","$88,025.00","$88,025.00"
"Morgan","Guilavogui","Real Salt Lake","Right Wing","$2,200,000.00","$2,225,500.00"
"JD","Gunn","New England Revolution","Goalkeeper","$113,400.00","$116,181.00"
"Colin","Guske","Orlando City SC","Defensive Midfield","$88,025.00","$98,830.00"
"Andrew","Gutman","Chicago Fire","Left-back","$625,000.00","$625,000.00"
"Justin","Haak","LA Galaxy","Center-back","$752,841.00","$810,561.00"
"Taha","Habroune","Columbus Crew","Central Midfield","$140,000.00","$152,000.00"
"Teenage","Hadebe","FC Cincinnati","Center-back","$1,080,000.00","$1,230,000.00"
"Nicholas","Hagen","Columbus Crew","Goalkeeper","$165,000.00","$183,600.00"
"Nick","Hagglund","FC Cincinnati","Center-back","$113,400.00","$130,067.00"
"Maren","Haile-Selassie","Chicago Fire","Right Midfield","$444,000.00","$483,500.00"
"Belal","Halbouni","Vancouver Whitecaps","Center-back","$204,000.00","$230,233.00"
"Julian","Hall","New York Red Bulls","Center Forward","$175,000.00","$257,241.00"
"Tyler","Hall","Inter Miami","Center-back","$113,400.00","$113,400.00"
"Lucas","Halter","Houston Dynamo","Center-back","$1,265,004.00","$1,416,921.00"
"Nicolas","Hansen","Colorado Rapids","Goalkeeper","$160,000.00","$160,000.00"
"Ian","Harkes","San Jose Earthquakes","Central Midfield","$450,000.00","$450,000.00"
"Cameron","Harper","New York Red Bulls","Right Wing","$390,000.00","$431,750.00"
"Nathan","Harriel","Philadelphia Union","Right-back","$325,000.00","$421,300.00"
"Alex","Harris","Colorado Rapids","Right Wing","$88,025.00","$90,025.00"
"Calvin","Harris","Sporting Kansas City","Right Wing","$375,000.00","$375,000.00"
"Marcel","Hartel","St. Louis City SC","Central Midfield","$2,022,300.00","$2,407,813.00"
"Carlos","Harvey","Minnesota United","Defensive Midfield","$285,000.00","$317,063.00"
"Thomas","Hasal","LAFC","Goalkeeper","$200,000.00","$210,133.00"
"Stuart","Hawkins","Seattle Sounders FC","Center-back","$113,400.00","$125,421.00"
"Silvan","Hefti","DC United","Right-back","$370,000.00","$434,833.00"
"Malik","Henry","Toronto FC","Right Midfield","$88,025.00","$88,025.00"
"Kobi","Henry","Real Salt Lake","Center-back","$113,400.00","$121,376.00"
"Fabian","Herbers","CF Montreal","Right Wing","$400,000.00","$440,000.00"
"Ronald","Hernández","Atlanta United","Right-back","$145,000.00","$159,000.00"
"Héctor","Herrera","Houston Dynamo","Central Midfield","$525,000.00","$568,750.00"
"Andrés","Herrera","Columbus Crew","Right-back","$650,000.00","$727,632.00"
"Aarón","Herrera","DC United","Right-back","$850,000.00","$945,220.00"
"Lucas","Herrington","Colorado Rapids","Center-back","$200,004.00","$235,004.00"
"Aiden","Hezarkhani","Real Salt Lake","Right Wing","$88,025.00","$94,383.00"
"Jayden","Hibbert","Atlanta United","Goalkeeper","$113,400.00","$113,400.00"
"Bode","Hidalgo","CF Montreal","Right-back","$290,000.00","$320,800.00"
"Kyle","Hiebert","St. Louis City SC","Center-back","$260,000.00","$289,000.00"
"Brendan","Hines-Ike","Austin FC","Center-back","$375,000.00","$375,000.00"
"Bongokuhle","Hlongwane","Minnesota United","Right Wing","$1,000,000.00","$1,142,500.00"
"Rob","Holding","Colorado Rapids","Center-back","$1,200,000.00","$1,200,000.00"
"Nick","Holliday","Charlotte FC","Goalkeeper","$88,025.00","$88,025.00"
"Ryan","Hollingshead","LAFC","Left-back","$550,000.00","$550,000.00"
"Duane","Holmes","Houston Dynamo","Right Midfield","$550,000.00","$628,000.00"
"Jackson","Hopkins","DC United","Attacking Midfield","$157,500.00","$157,833.00"
"Ethan","Horvath","New York Red Bulls","Goalkeeper","$424,992.00","$524,909.00"
"Lucas","Hoyos","Atlanta United","Goalkeeper","$315,000.00","$342,667.00"
"Keegan","Hughes","New England Revolution","Center-back","$113,400.00","$113,400.00"
"Sebastien","Ibeagha","FC Dallas","Center-back","$730,000.00","$793,625.00"
"Sunusi","Ibrahim","CF Montreal","Center Forward","$350,000.00","$410,000.00"
"Mitja","Ilenic","New York City FC","Right Midfield","$300,000.00","$391,700.00"
"Milan","Iloski","Philadelphia Union","Center Forward","$575,000.00","$628,194.00"
"Marcus","Ingvartsen","San Diego FC","Center Forward","$1,800,000.00","$1,800,000.00"
"Ayoub","Jabbari","FC Cincinnati","Center Forward","$420,000.00","$474,800.00"
"AZ","Jackson","Vancouver Whitecaps","Attacking Midfield","$240,000.00","$403,680.00"
"Tomás","Jacob","Atlanta United","Center-back","$525,000.00","$642,500.00"
"Iván","Jaime","CF Montreal","Attacking Midfield","$1,920,000.00","$2,111,200.00"
"Malik","Jakupović","Philadelphia Union","Center Forward","$88,025.00","$105,956.00"
"Ian","James","Sporting Kansas City","Center-back","$113,400.00","$117,998.00"
"Bryce","Jamison","Colorado Rapids","Right Wing","$113,400.00","$125,866.00"
"Robin","Jansson","Orlando City SC","Center-back","$500,000.00","$530,000.00"
"Aiden","Jarvis","New York Red Bulls","Central Midfield","$88,025.00","$105,110.00"
"Jack","Jasinski","San Jose Earthquakes","Right-back","$88,025.00","$90,287.00"
"Danley","Jean Jacques","Philadelphia Union","Defensive Midfield","$650,000.00","$702,500.00"
"Sang-bin","Jeong","St. Louis City SC","Center Forward","$685,125.00","$791,833.00"
"Igor","Jesus Lima","LAFC","Defensive Midfield","$625,000.00","$691,684.00"
"Stiven","Jimenez","FC Cincinnati","Central Midfield","$113,400.00","$113,400.00"
"Herman","Johansson","FC Dallas","Right Midfield","$600,000.00","$740,000.00"
"Andrew","Johnson","Charlotte FC","Center-back","$88,025.00","$89,309.00"
"Tate","Johnson","Vancouver Whitecaps","Left-back","$88,025.00","$89,025.00"
"Sean","Johnson","DC United","Goalkeeper","$883,475.00","$883,475.00"
"Isaiah","Jones","Nashville SC","Central Midfield","$113,400.00","$117,400.00"
"DeJuan","Jones","San Jose Earthquakes","Left-back","$891,996.00","$898,246.00"
"Malachi","Jones","New York City FC","Left Wing","$113,400.00","$113,400.00"
"Dejan","Joveljić","Sporting Kansas City","Center Forward","$3,000,000.00","$3,306,250.00"
"MyKhi","Joyner","St. Louis City SC","Left Midfield","$113,400.00","$130,680.00"
"Preston","Judd","San Jose Earthquakes","Center Forward","$250,000.00","$299,375.00"
"Anderson","Julio","FC Dallas","Right Wing","$750,000.00","$820,000.00"
"Ho-yeon","Jung","Minnesota United","Central Midfield","$131,000.00","$168,039.00"
"Sam","Junqua","Real Salt Lake","Left-back","$450,000.00","$482,813.00"
"Sawyer","Jura","Portland Timbers","Right-back","$88,025.00","$91,358.00"
"Kristijan","Kahlina","Charlotte FC","Goalkeeper","$775,000.00","$813,750.00"
"Bernard","Kamungo","FC Dallas","Right Wing","$250,000.00","$281,000.00"
"Stefan","Kapor","Toronto FC","Center-back","$88,025.00","$97,740.00"
"Hakim","Karamoko","DC United","Right Wing","$88,025.00","$88,025.00"
"Alexandros","Katranis","Real Salt Lake","Left-back","$450,000.00","$519,875.00"
"Samsy","Keita","CF Montreal","Goalkeeper","$88,025.00","$102,637.00"
"Kevin","Kelsy","Portland Timbers","Center Forward","$662,000.00","$802,804.00"
"Max","Kerkvliet","Real Salt Lake","Goalkeeper","$88,025.00","$88,025.00"
"Deandre","Kerr","Toronto FC","Center Forward","$160,000.00","$165,319.00"
"Henry","Kessler","Charlotte FC","Center-back","$850,000.00","$965,525.00"
"Hosei","Kijima","DC United","Central Midfield","$113,400.00","$113,400.00"
"Benji","Kikanović","San Jose Earthquakes","Left Wing","$442,000.00","$478,700.00"
"Joon-hong","Kim","DC United","Goalkeeper","$250,000.00","$349,880.00"
"Kee-hee","Kim","Seattle Sounders FC","Center-back","$113,400.00","$113,400.00"
"Peter","Kingston","Seattle Sounders FC","Defensive Midfield","$113,400.00","$113,400.00"
"João","Klauss de Mello","LA Galaxy","Center Forward","$2,187,500.00","$2,915,000.00"
"Eric","Klein","New England Revolution","Center-back","$88,025.00","$94,302.00"
"Matus","Kmet","Minnesota United","Right-back","$210,000.00","$227,469.00"
"Jordan","Knight","Nashville SC","Left-back","$88,025.00","$93,858.00"
"Ethan","Kohler","New England Revolution","Center-back","$280,000.00","$308,800.00"
"Žan","Kolmanič","Austin FC","Left-back","$375,000.00","$375,000.00"
"Jack","Kortkamp","Sporting Kansas City","Goalkeeper","$88,025.00","$90,025.00"
"Stas","Korzeniowski","Philadelphia Union","Center Forward","$88,025.00","$88,025.00"
"Kalani","Kossa-Rienzi","Seattle Sounders FC","Right-back","$113,400.00","$113,400.00"
"Theodore","Ku-DiPietro","Colorado Rapids","Attacking Midfield","$500,000.00","$556,000.00"
"Willy","Kumado","San Diego FC","Right-back","$113,400.00","$125,835.00"
"Keisuke","Kurokawa","DC United","Left-back","$550,000.00","$615,500.00"
"Benjamín","Kuscevic","Toronto FC","Center-back","$650,004.00","$804,982.00"
"Eduard","Löwen","St. Louis City SC","Central Midfield","$1,300,000.00","$1,444,250.00"
"Hernán","López Muñoz","San Jose Earthquakes","Attacking Midfield","$850,000.00","$1,020,000.00"
"Mathías","Laborda","Vancouver Whitecaps","Center-back","$1,050,000.00","$1,193,625.00"
"Luca","Langoni","New England Revolution","Right Wing","$715,000.00","$787,283.00"
"Stanislav","Lapkes","Columbus Crew","Goalkeeper","$95,400.00","$114,490.00"
"Oliver","Larraz","Vancouver Whitecaps","Central Midfield","$450,000.00","$496,667.00"
"Richie","Laryea","Toronto FC","Right-back","$875,000.00","$1,214,438.00"
"Damian","Las","Austin FC","Goalkeeper","$175,000.00","$175,000.00"
"Ariel","Lassiter","Portland Timbers","Left Wing","$325,000.00","$358,000.00"
"Emmanuel","Latte Lath","Atlanta United","Center Forward","$3,240,000.00","$3,736,000.00"
"Mac","Learned","New York City FC","Goalkeeper","$88,025.00","$88,025.00"
"Isaiah","LeFlore","Nashville SC","Left-back","$88,025.00","$88,025.00"
"Tucker","Lepley","LA Galaxy","Defensive Midfield","$113,400.00","$115,086.00"
"Beau","Leroux","San Jose Earthquakes","Central Midfield","$249,996.00","$249,996.00"
"Grant","Leveille","DC United","Goalkeeper","$88,025.00","$96,750.00"
"Ondrej","Lingr","Houston Dynamo","Attacking Midfield","$849,996.00","$938,074.00"
"Hugo","Lloris","LAFC","Goalkeeper","$800,000.00","$800,000.00"
"Saba","Lobjanidze","Atlanta United","Left Wing","$900,000.00","$998,750.00"
"Robin","Lod","Chicago Fire","Central Midfield","$800,000.00","$866,667.00"
"Aaron","Long","LAFC","Center-back","$445,000.00","$1,050,000.00"
"Matty","Longstaff","CF Montreal","Central Midfield","$416,000.00","$435,869.00"
"Antino","Lopez","Seattle Sounders FC","Center-back","$88,025.00","$88,025.00"
"Ivan","Losenko","CF Montreal","Central Midfield","$210,000.00","$248,000.00"
"Victor","Loturi","CF Montreal","Central Midfield","$135,000.00","$146,500.00"
"Ricky","Louis","FC Dallas","Center Forward","$88,025.00","$88,858.00"
"Evan","Louro","FC Cincinnati","Goalkeeper","$237,500.00","$259,635.00"
"Daniel","Lovitz","Nashville SC","Left-back","$410,000.00","$427,500.00"
"Hirving","Lozano","San Diego FC","Left Wing","$6,000,000.00","$9,333,333.00"
"Gonzalo","Luján","Inter Miami","Center-back","$630,000.00","$921,750.00"
"Jovan","Lukić","Philadelphia Union","Central Midfield","$395,000.00","$441,375.00"
"Diego","Luna","Real Salt Lake","Left Midfield","$450,000.00","$500,833.00"
"Ben","Lundt","St. Louis City SC","Goalkeeper","$225,000.00","$225,000.00"
"Thomas","Müller","Vancouver Whitecaps","Center Forward/Attacking Midfielder","$5,000,004.00","$5,152,504.00"
"Liam","MacKenzie","Vancouver Whitecaps","Attacking Midfield","$88,025.00","$103,450.00"
"Lukas","MacNaughton","St. Louis City SC","Center-back","$200,000.00","$219,306.00"
"Warren","Madrigal","Nashville SC","Left Wing","$350,000.00","$403,500.00"
"Jack","Maher","Nashville SC","Center-back","$900,000.00","$995,467.00"
"Cassius","Mailula","Toronto FC","Center Forward","$350,000.00","$366,003.00"
"Olwethu","Makhanya","Philadelphia Union","Center-back","$300,000.00","$338,875.00"
"Alexis","Manyoma","Colorado Rapids","Left Wing","$654,000.00","$711,750.00"
"Adrián","Marín","Orlando City SC","Left-back","$525,000.00","$577,972.00"
"JT","Marcinkowski","LA Galaxy","Goalkeeper","$302,000.00","$302,000.00"
"AJ","Marcucci","New York Red Bulls","Goalkeeper","$205,000.00","$230,060.00"
"Dominik","Marczuk","Real Salt Lake","Right Wing","$720,000.00","$795,500.00"
"Paul","Marie","San Jose Earthquakes","Right-back","$350,000.00","$382,500.00"
"Nick","Markanich","Houston Dynamo","Right Wing","$184,962.00","$202,778.00"
"Anthony","Markanich Jr.","Minnesota United","Left-back","$350,000.00","$395,700.00"
"Nikola","Marković","DC United","Center-back","$88,025.00","$93,858.00"
"George","Marks","Philadelphia Union","Goalkeeper","$125,000.00","$132,125.00"
"Omar","Marquez","Real Salt Lake","Right Wing","$88,025.00","$103,600.00"
"Jahkeele","Marshall-Rutty","New York Red Bulls","Right-back","$425,000.00","$473,750.00"
"Geiner","Martínez","Philadelphia Union","Center-back","$200,000.00","$360,204.00"
"David","Martínez","LAFC","Right Wing","$550,000.00","$550,000.00"
"Alonso","Martínez","New York City FC","Center Forward","$750,000.00","$850,333.00"
"Thiago","Martins","New York City FC","Center-back","$1,800,000.00","$2,262,000.00"
"João Gabriel","Martins Peglow","DC United","Left Wing","$375,000.00","$626,312.00"
"Joyeux","Masanka Bungi","New York Red Bulls","Left Midfield","$210,000.00","$222,500.00"
"Jimmy","Maurer","Houston Dynamo","Goalkeeper","$225,000.00","$225,000.00"
"Mamadou","Mbacke","St. Louis City SC","Center-back","$435,000.00","$496,350.00"
"Olivier","Mbaizo","Philadelphia Union","Right-back","$460,000.00","$502,875.00"
"Mbekezeli","Mbokazi","Chicago Fire","Center-back","$593,000.00","$655,620.00"
"Kenji","Mboma Dem","FC Cincinnati","Center Forward","$88,025.00","$88,025.00"
"John","McCarthy","New York Red Bulls","Goalkeeper","$525,000.00","$589,167.00"
"Jack","McGlynn","Houston Dynamo","Central Midfield","$776,000.00","$910,320.00"
"Zac","McGraw","Portland Timbers","Center-back","$295,000.00","$341,750.00"
"Duncan","McGuire","Orlando City SC","Center Forward","$600,000.00","$921,000.00"
"Damario","McIntosh","New England Revolution","Right-back","$113,400.00","$122,349.00"
"Brendan","McSorley","St. Louis City SC","Center Forward","$88,025.00","$88,025.00"
"Christopher","McVey","San Diego FC","Center-back","$525,000.00","$576,813.00"
