Montreal Impact,Beland-Goyette,Louis,M,$,"54,500.00",$,"55,750.00"
Atlanta United,Bello,George,D,$,"67,500.00",$,"71,500.00"
Sporting Kansas City,Belmar,Kharlton,F,$,"68,254.20",$,"68,254.20"
Real Salt Lake,Beltran,Tony,D,$,"230,000.00",$,"240,950.00"
Orlando City SC,Bendik,Joe,GK,$,"180,000.00",$,"189,083.40"
New York City FC,Berget,Jo Inge,F,$,"600,000.00",$,"816,666.67"
San Jose Earthquakes,Bersano,Matt,GK,$,"68,254.20",$,"68,254.20"
Real Salt Lake,Besler,Nick,M,$,"67,500.00",$,"67,500.00"
Sporting Kansas City,Besler,Matt,D,$,"750,000.00",$,"783,250.00"
Vancouver Whitecaps,Bevan,Myer,F,$,"54,500.04",$,"54,500.04"
New York Red Bulls,Bezecourt,Vincent,M,$,"67,500.00",$,"69,921.40"
LA Galaxy,Bingham,David,GK,$,"275,000.04",$,"275,000.04"
Houston Dynamo,Bird,Eric,M,$,"67,500.00",$,"67,500.00"
DC United,Birnbaum,Steven,D,$,"500,004.00",$,"525,004.00"
LAFC,Blackmon,Tristan,D,$,"67,500.00",$,"70,233.92"
Philadelphia Union,Blake,Andre,GK,$,"450,000.00",$,"500,000.00"
Portland Timbers,Blanco,Sebastian,M,$,"1,300,008.00",$,"1,375,008.00"
LAFC,Blessing,Latif,F,$,"75,000.00",$,"84,375.00"
Colorado Rapids,Blomberg,Johan,M,$,"239,808.00",$,"239,808.00"
Vancouver Whitecaps,Blondell,Anthony,F,$,"249,999.96",$,"295,203.21"
LA Galaxy,Boateng,Emmanuel,F,$,"130,000.00",$,"130,000.00"
Colorado Rapids,Boli,Yannick,F,$,"774,999.96",$,"907,499.96"
Toronto FC,Bono,Alex,GK,$,"132,000.00",$,"164,000.00"
Minnesota United,Boxall,Michael,D,$,"250,008.00",$,"267,341.33"
Toronto FC,Bradley,Michael,M,$,"6,000,000.00",$,"6,500,000.00"
LAFC,Brewer,Shaft,M,$,"54,500.04",$,"56,166.71"
DC United,Brillant,Frederic,D,$,"264,999.96",$,"299,999.96"
Chicago Fire,Bronico,Brandt,M,$,"68,254.00",$,"68,254.00"
Seattle Sounders FC,Brown,Calle,GK,$,"67,500.00",$,"67,500.00"
Seattle Sounders FC,Bruin,Will,F,$,"350,000.00",$,"351,666.67"
New England Revolution,Bunbury,Teal,F,$,"215,000.04",$,"260,000.04"
Minnesota United,Burch,Marc,D,$,"140,004.00",$,"140,004.00"
Philadelphia Union,Burke,Cory,F,$,"67,500.00",$,"71,223.75"
Montreal Impact,Bush,Evan,GK,$,"157,925.00",$,"157,925.00"
Sporting Kansas City,Busio,Gianluca,F,$,"80,004.00",$,"82,504.00"
Seattle Sounders FC,Bwana,Handwalla,M,$,"54,500.04",$,"54,500.04"
New England Revolution,Bye,Brandon,D,$,"54,500.04",$,"57,760.82"
Houston Dynamo,Cabezas,Juan,M,$,"255,156.00",$,"279,156.00"
Montreal Impact,Cabrera,Victor,D,$,"270,000.00",$,"270,000.00"
New England Revolution,Caicedo,Luis Alberto,M,$,"300,000.00",$,"300,000.00"
New England Revolution,Caldwell,Scott,M,$,"129,375.00",$,"139,375.00"
New York City FC,Caldwell,Jeff,GK,$,"54,500.04",$,"54,500.04"
New York City FC,Callens,Alexander,D,$,"500,000.04",$,"564,000.04"
Colorado Rapids,Calvert,Caleb,F,$,"105,000.00",$,"105,000.00"
San Jose Earthquakes,Calvillo,Eric,M,$,"99,999.96",$,"114,999.96"
Minnesota United,Calvo,Francisco,D,$,"450,000.00",$,"522,600.00"
Montreal Impact,Camacho,Rudy,D,$,"650,000.04",$,"699,152.54"
Chicago Fire,Campbell,Jonathan,D,$,"120,175.00",$,"128,300.00"
Chicago Fire,Campos,Diego,M,$,"54,500.04",$,"54,500.04"
FC Dallas,Cannon,Reggie,D,$,"67,500.00",$,"67,500.00"
FC Dallas,Cano,Jordan,D,$,"54,500.04",$,"54,500.04"
DC United,Canouse,Russell,M,$,"247,500.00",$,"247,500.00"
Atlanta United,Carleton,Andrew,F,$,"75,000.00",$,"87,400.00"
LA Galaxy,Carrasco,Servando,M,$,"67,500.00",$,"67,500.00"
Portland Timbers,Cascante,Julio,D,$,"150,000.00",$,"150,000.00"
New York Red Bulls,Casseres,Cristian,M,$,"69,999.96",$,"108,749.96"
New York City FC,Castellanos,Valentin,M,$,"150,000.00",$,"181,008.07"
Colorado Rapids,Castillo,Edgar,D,$,"99,996.00",$,"129,996.00"
Houston Dynamo,Ceren,Darwin,M,$,"225,000.00",$,"274,375.00"
FC Dallas,Chala,Anibal,D,$,"300,000.00",$,"383,000.00"
New York City FC,Chanot,Maxime,D,$,"375,000.00",$,"408,000.00"
Toronto FC,Chapman,Jay,M,$,"99,000.00",$,"117,500.00"
Portland Timbers,Chara,Diego,M,$,"550,000.00",$,"572,000.00"
Seattle Sounders FC,Chenkam,Felix,F,$,"54,500.04",$,"54,500.04"
Montreal Impact,Choiniere,David,M,$,"67,500.00",$,"67,500.00"
Montreal Impact,Choiniere,Mathieu,M,$,"54,500.04",$,"59,441.04"
LA Galaxy,Ciani,Michael,D,$,"600,000.00",$,"620,000.00"
Columbus Crew,Clark,Ricardo,M,$,"125,000.04",$,"125,000.04"
Portland Timbers,Clark,Steve,GK,$,"120,000.00",$,"130,000.00"
Chicago Fire,Cleveland,Stefan,GK,$,"55,654.20",$,"55,654.20"
LA Galaxy,Cole,Ashley,D,$,"450,000.00",$,"722,499.98"
Chicago Fire,Collier,Elliot,F,$,"54,500.04",$,"54,500.04"
New York Red Bulls,Collin,Aurelien,D,$,"450,000.00",$,"450,000.00"
FC Dallas,Colman,Cristian,F,$,"500,000.04",$,"585,000.04"
Orlando City SC,Colman,Josue,M,$,"150,000.00",$,"150,000.00"
Colorado Rapids,Colvey,Kip,D,$,"67,500.00",$,"67,500.00"
Vancouver Whitecaps,Colyn,Simon,M,$,"54,499.92",$,"60,749.92"
Portland Timbers,Conechny,Tomas,M-F,$,"150,000.00",$,"166,666.67"
Chicago Fire,Conner,Drew,M,$,"68,907.30",$,"68,907.30"
Chicago Fire,Corrales,Jorge,D,$,"67,500.00",$,"67,500.00"
Philadelphia Union,Creavalle,Warren,M,$,"140,000.00",$,"153,000.00"
Montreal Impact,Crepeau,Maxime,GK,$,"80,000.00",$,"84,083.33"
Columbus Crew,Crognale,Alex,D,$,"95,004.00",$,"95,004.00"
Sporting Kansas City,Croizet,Yohan,M,$,"650,004.00",$,"680,004.00"
Minnesota United,Cronin,Sam,M,$,"141,660.00",$,"208,761.33"
New England Revolution,Cropper,Cody,GK,$,"73,828.13",$,"73,828.13"
San Jose Earthquakes,Cummings,Harold,D,$,"249,996.00",$,"300,662.67"
LAFC,Czornomaz,Nicolas,M,$,"67,500.00",$,"71,250.00"
Colorado Rapids,da Fonte,Mike,D,$,"67,500.00",$,"67,500.00"
Houston Dynamo,Da Silva,Leonardo,D,$,"157,504.50",$,"165,171.17"
Minnesota United,da Silva,Ibson,M,$,"300,000.00",$,"317,083.33"
Orlando City SC,Da Silva,Pierre,M,$,"54,504.00",$,"54,504.00"
Toronto FC,Daniels,Aidan,M,$,"54,500.04",$,"54,500.04"
Minnesota United,Danladi,Abu,F,$,"135,000.00",$,"186,000.00"
Vancouver Whitecaps,Davies,Alphonso,M,$,"72,500.00",$,"72,500.00"
New York Red Bulls,Davis,Sean,M,$,"225,000.00",$,"261,666.67"
Vancouver Whitecaps,de Jong,Marcel,D-M,$,"150,000.00",$,"164,500.00"
Chicago Fire,de Leeuw,Michael,F,$,"525,000.00",$,"589,212.50"
Columbus Crew,de Lima,Artur,M,$,"210,000.00",$,"244,166.67"
