"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"Besard","Šabović","Austin FC","Central Midfield","$550,000.00","$550,000.00"
"Dario","Župarić","Portland Timbers","Center-back","$735,000.00","$907,950.00"
"Paxten","Aaronson","Colorado Rapids","Attacking Midfield","$2,000,000.00","$2,228,063.00"
"Liel","Abada","Charlotte FC","Right Wing","$2,400,000.00","$2,548,500.00"
"Wessam","Abou Ali","Columbus Crew","Center Forward","$1,800,000.00","$2,157,375.00"
"Lalas","Abubakar","FC Dallas","Center-back","$410,000.00","$445,000.00"
"Kellyn","Acosta","Chicago Fire","Defensive Midfield","$1,461,796.00","$1,628,477.00"
"Bryan","Acosta","Nashville SC","Central Midfield","$175,000.00","$196,250.00"
"Jordan","Adebayo-Smith","Minnesota United","Center Forward","$104,000.00","$121,220.00"
"Sam","Adekugbe","Vancouver Whitecaps","Left-back","$875,000.00","$963,000.00"
"Leo","Afonso","Atlanta United","Left Wing","$80,622.00","$80,622.00"
"Stephen","Afrifa","Sporting Kansas City","Left Wing","$104,000.00","$104,000.00"
"Willy","Agada","Real Salt Lake","Center Forward","$500,000.00","$546,875.00"
"Ali","Ahmed","Vancouver Whitecaps","Left Midfield","$150,000.00","$159,375.00"
"Forster","Ajago","Real Salt Lake","Center Forward","$80,622.00","$80,622.00"
"Jordi","Alba","Inter Miami","Left-back","$6,000,000.00","$6,000,000.00"
"Ibrahim","Aliyu","Columbus Crew","Center Forward","$474,996.00","$526,375.00"
"Noah","Allen","Inter Miami","Left-back","$125,000.00","$184,653.00"
"Tadeo","Allende","Inter Miami","Right Wing","$1,000,000.00","$1,000,000.00"
"Rasmus","Alm","St. Louis City SC","Right Wing","$279,500.00","$343,925.00"
"Miguel","Almirón","Atlanta United","Right Wing","$6,056,000.00","$7,871,000.00"
"Alejandro","Alvarado","San Diego FC","Central Midfield","$80,622.00","$88,144.00"
"Fernando","Álvarez","CF Montreal","Center-back","$275,000.00","$307,500.00"
"Antony","Alves Santos","Portland Timbers","Left Wing","$490,000.00","$555,342.00"
"Steven","Alzate","Atlanta United","Central Midfield","$1,125,200.00","$1,440,101.00"
"Pedro","Amador","Atlanta United","Left-back","$231,996.00","$267,608.00"
"Daouda","Amadou","Colorado Rapids","Defensive Midfield","$80,622.00","$80,622.00"
"Frankie","Amaya","LAFC","Central Midfield","$574,000.00","$574,000.00"
"Prince","Amponsah","New York City FC","Center-back","$80,622.00","$80,622.00"
"Malte","Amundsen","Columbus Crew","Center-back","$624,996.00","$697,496.00"
